run,model,repeats,burst_size,burst_gap_ns,frames,service_p50_ns,service_p95_ns,service_p99_ns,queue_p50_ns,queue_p95_ns,queue_p99_ns,queue_max_ns,burst_start_queue_p50_ns,burst_start_queue_p95_ns,burst_start_queue_p99_ns,burst_start_queue_max_ns,e2e_p50_ns,e2e_p95_ns,e2e_p99_ns,e2e_max_ns,checksum
3,virtual_single_server,20,16,10000,19980,785,1460,3644,3298158,7203077,7451911,7505967,3288850,7194829,7446293,7496691,3308211,7204829,7452551,7506691,2000
4,virtual_single_server,20,1,1000000,19980,792,1477,3612,0,0,0,0,0,0,0,0,792,1477,3612,73134,2000
4,virtual_single_server,20,1,100000,19980,794,1484,3731,0,0,0,324873,0,0,0,324873,794,1484,3755,424873,2000
4,virtual_single_server,20,1,10000,19980,789,1461,3530,0,0,0,64106,0,0,0,64106,789,1477,4157,74106,2000
4,virtual_single_server,20,8,1000000,19980,820,1513,3725,3175,7264,14450,90179,0,0,0,0,4126,8524,17299,91386,2000
4,virtual_single_server,20,8,100000,19980,822,1517,3726,3171,7273,13747,155967,0,0,0,58604,4141,8497,16183,158604,2000
4,virtual_single_server,20,8,10000,19980,833,1587,4132,6616,518924,731364,771987,952,511250,727476,762772,7675,519948,732768,772772,2000
4,virtual_single_server,20,16,1000000,19980,897,1693,4040,7498,17633,29245,196096,0,0,0,0,8502,19247,30924,197650,2000
4,virtual_single_server,20,16,100000,19980,875,1680,4156,7415,17648,32520,477486,0,0,0,380641,8441,19232,35076,480641,2000
4,virtual_single_server,20,16,10000,19980,966,1867,4460,5748238,10666621,11021436,11098581,5739203,10658572,11015630,11088514,5774596,10668572,11022263,11099383,2000
5,virtual_single_server,20,1,1000000,19980,929,1775,4476,0,0,0,0,0,0,0,0,929,1775,4476,765094,2000
5,virtual_single_server,20,1,100000,19980,960,1856,4616,0,0,0,452381,0,0,0,452381,960,1856,4669,552381,2000
5,virtual_single_server,20,1,10000,19980,952,1822,4327,0,0,5416,900976,0,0,5416,900976,953,1903,15416,910976,2000
5,virtual_single_server,20,8,1000000,19980,945,1743,4371,3649,8394,16056,943777,0,0,0,0,4762,9841,19583,945891,2000
5,virtual_single_server,20,8,100000,19980,937,1717,4151,3601,8301,16106,91120,0,0,0,0,4685,9733,18963,92260,2000
5,virtual_single_server,20,8,10000,19980,910,1696,4278,9035,450898,565875,593618,4073,446137,561768,584469,10296,452073,567207,594469,2000
5,virtual_single_server,20,16,1000000,19980,903,1681,4171,7691,17372,30101,835695,0,0,0,0,8741,18976,32056,837061,2000
5,virtual_single_server,20,16,100000,19980,881,1659,4055,7464,17445,30195,237930,0,0,0,138882,8475,18936,31744,238882,2000
5,virtual_single_server,20,16,10000,19980,865,1607,4011,5407628,8992338,9344961,9414888,5398385,8984192,9339313,9405092,5422234,8994192,9345735,9415660,2000
6,virtual_single_server,20,1,1000000,19980,857,1570,3957,0,0,0,0,0,0,0,0,857,1570,3957,652555,2000
6,virtual_single_server,20,1,100000,19980,1011,1895,4784,0,0,0,1492204,0,0,0,1492204,1011,1901,5077,1592204,2000
6,virtual_single_server,20,1,10000,19980,1000,1840,4537,0,0,0,76163,0,0,0,76163,1001,1873,5468,86163,2000
6,virtual_single_server,20,8,1000000,19980,1016,1936,4680,3914,9201,18020,964670,0,0,0,0,5085,10975,22595,967225,2000
6,virtual_single_server,20,8,100000,19980,989,1857,4474,3828,8895,17712,139449,0,0,0,42630,4966,10466,21198,142630,2000
6,virtual_single_server,20,8,10000,19980,951,1753,4328,8376,64750,85516,98033,3688,60341,80879,89225,9550,65977,86694,99225,2000
6,virtual_single_server,20,16,1000000,19980,951,1757,4263,8077,18364,30088,324491,0,0,0,0,9171,19940,32101,325654,2000
6,virtual_single_server,20,16,100000,19980,956,1780,4429,8216,19916,50365,636099,0,0,0,537370,9332,21746,55298,637370,2000
6,virtual_single_server,20,16,10000,19980,925,1749,4327,5295766,10410973,10778603,10856116,5286573,10402927,10772740,10846273,5310860,10412927,10779477,10856900,2000
7,virtual_single_server,20,1,1000000,19980,923,1849,4958,0,0,0,357752,0,0,0,357752,923,1849,4967,1357752,2000
7,virtual_single_server,20,1,100000,19980,906,1678,4122,0,0,0,0,0,0,0,0,906,1678,4122,91955,2000
7,virtual_single_server,20,1,10000,19980,908,1719,4368,0,0,11166,767112,0,0,11166,767112,911,1817,21166,777112,2000
7,virtual_single_server,20,8,1000000,19980,903,1638,3865,3479,7919,14432,65386,0,0,0,0,4536,9242,16890,66992,2000
7,virtual_single_server,20,8,100000,19980,919,1719,4361,3570,8391,24889,923669,0,0,0,906649,4646,9962,28113,1006649,2000
7,virtual_single_server,20,8,10000,19980,905,1636,3927,5427,43218,96249,118185,0,38311,90095,109262,6463,44525,97885,119262,2000
7,virtual_single_server,20,16,1000000,19980,826,1505,3633,7004,15776,26960,828461,0,0,0,0,7962,17161,28266,829196,2000
7,virtual_single_server,20,16,100000,19980,826,1520,3757,7040,16440,34612,546303,0,0,0,447634,8009,17995,36495,547634,2000
7,virtual_single_server,20,16,10000,19980,821,1505,3659,3821405,7022808,7276409,7355645,3812177,7014563,7270825,7346431,3833703,7024563,7277126,7356431,2000
